"","Year","State_SF","Biomass","Coal","Hydroelectric","Natural_Gas","Nuclear","Oil","Other","Solar","Wind"
"157",2015,"FL",6258780,41185998,244294,154777442,28121916,2095672,1669755,213474,0
"158",2015,"GA",4725783,37127109,3140680,49738700,33838462,235966,85559,102706,0
"159",2015,"KY",440927,70921876,3631935,5942550,0,1069733,40247,0,0
"160",2015,"LA",2483724,15164958,999036,68226624,15300736,4242669,788216,0,0
"161",2015,"MS",1506480,6399605,0,44959113,11714588,10983,6066,0,0
"162",2015,"NC",2557692,39918693,5037140,36228599,42096761,406199,685283,1173792,0
"163",2015,"SC",2285804,22546952,2556041,16539693,53156320,181176,48639,0,0
"164",2015,"TN",1003823,30584825,9270779,9334059,24960472,130756,20101,73403,45841
"165",2015,"VA",4593893,17059381,1149475,33227311,28060358,1052595,0,0,0
"166",2016,"AL",3335245,34258251,7347142,57830789,39901879,34463,0,31261,0
"167",2016,"AR",1367537,23800071,3608810,18169852,13421022,37768,5056,24542,0
"168",2016,"FL",6094440,39429446,174551,158455127,29320022,2791891,1692531,205224,0
"169",2016,"GA",4569482,37889739,3006008,52855992,34480662,197582,95664,854804,0
"170",2016,"KY",464894,66823204,3411221,8224654,0,1225653,49332,11732,0
"171",2016,"LA",2876273,12013650,1103023,68148282,17151826,4811857,726595,0,0
"172",2016,"MS",1524199,5342026,0,50094182,5897272,8946,5272,0,0
"173",2016,"NC",2555088,37432204,4579166,39245756,42786087,229075,654538,3120446,6233
"174",2016,"SC",2369286,20998697,2215407,16363614,55825916,99865,45420,4688,0
"175",2016,"TN",933366,31164837,6596191,11329144,29578086,113354,16158,75484,37747
"176",2016,"VA",4543335,16499412,1456809,40899807,29731895,491803,0,15912,0
"177",2017,"AL",3425659,31439142,9112000,52993253,42651973,22909,0,179821,0
"178",2017,"AR",1436664,26285436,2963795,17313944,12691079,45430,0,26561,0
"179",2017,"FL",6412758,37512761,218299,160692670,29146219,1415473,1633325,833074,0
"180",2017,"GA",5018020,32483358,2525200,52704416,33708805,264992,85233,1961247,0
"181",2017,"KY",494691,57236511,4320650,10378320,0,518125,44553,17449,0
"182",2017,"LA",2766868,12315925,906237,61113677,15409745,4569632,630235,0,0
"183",2017,"MS",1477048,4628230,0,46153831,7364648,6913,0,81904,0
"184",2017,"NC",2809603,34454653,4098361,38584422,42374264,220778,577380,4791008,470743
"185",2017,"SC",2381424,18149025,1817304,17145521,54344554,77864,41213,60427,0
"186",2017,"TN",947675,26566507,8380329,10277257,31817502,117025,17702,84646,43327
"187",2017,"VA",4018144,10632670,1101346,44270145,30553734,416207,0,292816,0
