Plant Id,Plant Name,Entity Id,Entity Name,County,State,Latitude,Longitude
59225,Optimum Wind 7 LLC,59019,Optimum Wind 7 LLC,Story,IA,42.028333,-93.43028
59226,Optimum Wind 4 LLC,59024,Optimum Wind 4 LLC,Story,IA,42.016389,-93.51583
59227,Optimum Wind 3 LLC,59025,Optimum Wind 3 LLC,Story,IA,42.019167,-93.51361
59228,Leonardo Wind 1 LLC,59022,Leonardo Wind 1 LLC,Hardin,IA,42.498056,-93.36778
59230,Venus Wind 3 LLC,59021,Venus Wind 3 LLC,Poweshiek,IA,41.741944,-92.67222
59231,Michelangelo Wind 1 LLC,59026,Michelangelo Wind 1 LLC,Story,IA,41.881,-93.62306
59232,Michelangelo Wind 4 LLC,59027,Michelangelo Wind 4 LLC,Boone,IA,41.978,-93.70056
59233,Cogeneration 2,49913,University of Arizona,Pima,AZ,32.240833,-110.9483
59234,Arbuckle Mountain Wind Farm LLC,59039,Arbuckle Mountain Wind Farm LLC,Murray,OK,34.386944,-97.13694
59235,Rising Tree Wind Farm II,59040,Rising Tree Wind Farm II LLC,Kern,CA,35.088889,-118.2064
59236,Rising Tree Wind Farm III,59042,Rising Tree Wind Farm III LLC,Kern,CA,35.060556,-118.2433
59237,Lone Valley Solar Park II LLC,59041,Lone Valley Solar Park II LLC,San Bernardino,CA,34.408333,-116.8625
59238,Windthorst-2,57170,"EDF Renewable Asset Holdings, Inc.",Archer,TX,33.495278,-98.5
59239,Eagle Springs Solar LLC,59045,Eagle Springs Solar LLC,Garfield,CO,39.526111,-107.6961
59240,Green Gas-Port Charlotte LLC,59881,Port Charlotte Energy LLC,Charlotte,FL,26.790833,-81.96528
59241,Brockelman,58801,"Integrys MA Solar, LLC",Worcester,MA,42.481389,-71.71694
59242,Beverly,58801,"Integrys MA Solar, LLC",Essex,MA,42.59,-70.91194
59243,Changing Winds,59056,"Tri Global Energy, LLC",Castro,TX,34.511944,-102.0519
59244,Lorenzo Wind,61133,"Lorenzo Wind, LLC",Crosby,TX,33.699167,-101.5247
59245,Fluvanna,60042,Fluvanna Wind Energy LLC,Scurry,TX,32.931944,-101.1436
59246,Goodnight,60688,"FGE Goodnight, LLC",Armstrong,TX,35.093889,-101.3261
59247,Hale Community Wind Farm,60040,Hale Wind Energy,Hale,TX,33.927778,-101.7422
59248,CCMUA,59063,"Camden Solar Center, LLC",Camden,NJ,39.923056,-75.1275
59249,Rio Bravo Solar 1 LLC,60605,"Rio Bravo Solar I, LLC",Kern,CA,35.416111,-119.6825
59250,Rio Bravo Solar II LLC,60606,"Rio Bravo Solar II, LLC",Kern,CA,35.4225,-119.6292
59251,Caprock Solar 1 LLC,59991,"Caprock Solar 1, LLC",Quay,NM,34.982778,-103.3783
59253,Wildwood Solar II,60607,"Wildwood Solar II, LLC",Kern,CA,35.63,-119.5739
59254,Johnston LFG Turbine Plant,56889,Rhode Island LFG Genco,Providence,RI,41.803333,-71.52333
59255,Osprey Point RES,9267,"Hoosier Energy R E C, Inc",Sullivan,IN,39.059167,-87.50611
59256,Vaca Dixon Battery Storage System,14328,Pacific Gas & Electric Co.,Solano,CA,38.393333,-121.9278
59257,Yerba Buena,14328,Pacific Gas & Electric Co.,Santa Clara,CA,37.305833,-121.755
59260,"Hidden View Dairy, LLC",59093,"Hidden View Dairy, LLC",,,41.032778,-87.0725
59260,"Hidden View Dairy, LLC",59093,"Hidden View Dairy, LLC",Jasper,IN,41.032778,-87.0725
59261,Verizon-Torrance,57128,Bloom Energy,Los Angeles,CA,33.850556,-118.3042
59262,Lancaster Little Rock,58661,"Sustainable Power Group, LLC",Los Angeles,CA,34.599444,-117.9328
59265,Merced Solar LLC,59089,Merced Solar LLC,Merced,CA,37.267778,-120.4844
59267,Mission Solar LLC,59090,Mission Solar LLC,Merced,CA,37.267778,-120.4825
59268,Hollister Solar LLC,59091,Hollister Solar LLC,San Benito,CA,36.8625,-121.4289
59269,Victor Mesa Linda B2,58661,"Sustainable Power Group, LLC",San Bernardino,CA,34.512778,-117.3872
59270,Victor Mesa Linda C2,58661,"Sustainable Power Group, LLC",San Bernardino,CA,34.511389,-117.3872
59271,Victor Mesa Linda D2,58661,"Sustainable Power Group, LLC",San Bernardino,CA,34.509444,-117.3872
59272,Victor Mesa Linda E2,58661,"Sustainable Power Group, LLC",San Bernardino,CA,34.508056,-117.3872
59273,SEPV Palmdale East,58661,"Sustainable Power Group, LLC",Los Angeles,CA,34.613056,-117.9389
59274,Sutter Greeworks LLC,58661,"Sustainable Power Group, LLC",Suffolk,NY,40.928056,-72.77111
59275,Sterlington Greenworks LLC,58661,"Sustainable Power Group, LLC",Suffolk,NY,41.0675,-72.44028
59276,Leavenworth Greenworks LLC,58661,"Sustainable Power Group, LLC",Suffolk,NY,40.925278,-72.76333
59277,Medford WWTP,56990,NJR Clean Energy Ventures Corporation,Burlington,NJ,39.922222,-74.80667
59278,Reeves South,56990,NJR Clean Energy Ventures Corporation,Burlington,NJ,39.926667,-74.81361
59279,Life Technologies - Pleasanton,57128,Bloom Energy,Alameda,CA,37.643889,-121.8842
59280,Kellogg's - San Jose,57128,Bloom Energy,Santa Clara,CA,37.356389,-121.8719
59281,eBay - South Jordan,57128,Bloom Energy,Salt Lake,UT,40.560556,-112.0478
59282,Green Machine,57128,Bloom Energy,,,39.108889,-76.77139
59283,California PV Energy at ISD WWTP,58540,California PV Energy LLC,Contra Costa,CA,38.001111,-121.7039
59284,Mammoth Plains,60768,Mammoth Plains Wind Project,Dewey,OK,35.978889,-98.71028
59292,Rattlesnake Creek Wind Project,61414,"Rattlesnake Creek Wind Project, LLC",Dixon,NE,42.374,-96.829
59295,WED NK Green,59097,WED NK Green LLC,Washington,RI,41.581667,-71.48667
59296,Northwest Ohio Wind,59098,"Northwest Ohio Wind, LLC",Paulding,OH,41.016944,-84.59361
59297,Carrier Clinic,59100,"Sunlight General Solar Fund II, LLC",Somerset,NJ,40.47,-74.685
59299,Waste Mangement Redwood LFGTE,54842,WM Renewable Energy LLC,Marin,CA,38.160833,-122.565
593,Edge Moor,56609,Calpine Mid-Atlantic Generation LLC,New Castle,DE,39.73886,-75.50384
59300,Hanford 1 and 2,59104,"Sequoia PV 2, LLC",Kings,CA,36.306667,-119.6292
59301,WED Coventry 1,59105,"WED Coventry One, LLC",Kent,RI,41.675833,-71.7075
59302,WED Coventry 2,59106,"WED Coventry Two, LLC",Kent,RI,41.6725,-71.70583
59305,WED Coventry 3,59107,"WED Coventry Three, LLC",Kent,RI,41.695556,-71.72083
59306,WED Coventry 4,59108,"WED Coventry Four, LLC",Kent,RI,41.686389,-71.72833
59308,Beacon Solar Plant Site 5,60865,"CD Global Solar Holdings, LLC",Kern,CA,35.248889,-118.0344
59309,Beacon Solar Plant Site 2,60865,"CD Global Solar Holdings, LLC",Kern,CA,35.265833,-117.9992
59310,Black Oak Power Producers,61038,"Cube District Energy, LLC",Wright,MO,37.231944,-92.45389
59311,Seiling Wind I,59115,NextEra Energy Seiling Wind,Dewey,OK,36.1225,-98.99222
59312,Seiling Wind II,59115,NextEra Energy Seiling Wind,Dewey,OK,36.1225,-98.99222
59313,WED Coventry 5,59116,"WED Coventry Five, LLC",Kent,RI,41.659722,-71.69972
